agecut,sex,Total,EuropeanMC,MaoriMC,PacificMC,AsianMC,OtherMC,TotalMC,FactorMC,European,Maori,Pacific,Asian,Other
0,M,160150,114020,43200,22860,21100,2700,203880,1.27,89564,33934,17957,16574,2121
0,F,151770,108210,40840,21700,20030,2640,193420,1.27,84909,32046,17027,15717,2072
5,M,153570,110840,39590,20230,17450,2210,190320,1.24,89437,31945,16324,14080,1783
5,F,146490,106130,37570,19130,16480,2100,181410,1.24,85701,30338,15448,13308,1696
10,M,152180,108160,37000,19180,16800,1980,183120,1.20,89885,30748,15939,13961,1645
10,F,144580,103110,34790,18440,15990,1790,174120,1.20,85617,28888,15312,13277,1486
15,M,160150,110500,35140,17970,21650,2190,187450,1.17,94407,30022,15353,18497,1871
15,F,152330,106260,33740,17760,19940,1990,179690,1.18,90081,28603,15056,16904,1687
20,M,159180,104750,28410,14960,29690,2720,180530,1.13,92362,25050,13191,26179,2398
20,F,155740,105610,30470,15840,25940,2360,180220,1.16,91265,26331,13688,22416,2039
25,M,135330,86880,20580,11550,28040,2860,149910,1.11,78430,18578,10427,25313,2582
25,F,142160,91650,24090,12160,29520,2750,160170,1.13,81345,21381,10793,26201,2441
30,M,129510,84660,18120,10310,25740,2890,141720,1.09,77366,16559,9422,23522,2641
30,F,141580,93150,21650,11060,28380,2920,157160,1.11,83916,19504,9964,25567,2631
35,M,131500,94040,18560,9720,18620,2260,143200,1.09,86357,17044,8926,17099,2075
35,F,144860,103580,21690,10430,21620,2320,159640,1.10,93990,19682,9464,19618,2105
40,M,150170,112410,19920,9640,17140,2010,161120,1.07,104770,18566,8985,15975,1873
40,F,166410,123230,22990,10300,21910,1880,180310,1.08,113730,21218,9506,20221,1735
45,M,150100,113780,18620,8930,16180,1670,159180,1.06,107290,17558,8421,15257,1575
45,F,161890,121250,20900,9590,19810,1570,173120,1.07,113385,19544,8968,18525,1468
50,M,151680,118600,17650,7370,14310,1290,159220,1.05,112984,16814,7021,13632,1229
50,F,161990,124980,20100,7920,17490,1210,171700,1.06,117912,18963,7472,16501,1142
55,M,132170,105650,13400,5720,11840,950,137560,1.04,101510,12875,5496,11376,913
55,F,139590,109830,15170,5930,14420,910,146260,1.05,104821,14478,5660,13762,869
60,M,117900,97330,10200,4560,8960,630,121680,1.03,94306,9883,4418,8682,610
60,F,123110,100930,11420,4780,10280,520,127930,1.04,97127,10990,4600,9893,500
65,M,100570,86330,7130,3200,6040,390,103090,1.03,84220,6956,3122,5892,380
65,F,105190,89890,7900,3410,6690,350,108240,1.03,87357,7677,3314,6501,340
70,M,74040,64340,4790,2060,4170,230,75590,1.02,63021,4692,2018,4084,225
70,F,80000,69290,5420,2410,4570,230,81920,1.02,67666,5293,2354,4463,225
75,M,51010,44950,2700,1200,2890,130,51870,1.02,44205,2655,1180,2842,128
75,F,58330,51450,3440,1550,2990,150,59580,1.02,50371,3368,1517,2927,147
80,M,36100,33160,1350,600,1390,80,36580,1.01,32725,1332,592,1372,79
80,F,46030,42080,2010,950,1590,100,46730,1.02,41450,1980,936,1566,99
85,M,19340,18320,460,220,490,50,19540,1.01,18132,455,218,485,49
85,F,30440,28780,820,480,670,60,30810,1.01,28434,810,474,662,59
90+,M,7500,7200,130,70,160,10,7570,1.01,7133,129,69,159,10
90+,F,17440,16770,310,160,320,30,17590,1.01,16627,307,159,317,30
85+,M,26840,25520,590,290,650,60,27110,1.01,25266,584,287,644,59
85+,F,47880,45550,1130,640,990,90,48400,1.01,45061,1118,633,979,89
