agecut,segi,scandanavian,who,nz_standard_pop
0,12,8,8.86,0.0702216079
5,10,7,8.69,0.0675516875
10,9,7,8.6,0.0668087923
15,9,7,8.47,0.0703454238
20,8,7,8.22,0.070894716
25,8,7,7.93,0.0624684832
30,6,7,7.61,0.0610277167
35,6,7,7.15,0.0622140979
40,6,7,6.59,0.0712661636
45,6,7,6.04,0.0702351151
50,5,7,5.37,0.0706133163
55,4,6,4.55,0.061178547
60,4,5,3.72,0.0542561143
65,3,4,2.96,0.0463206426
70,2,3,2.21,0.0346774484
75,1,2,1.52,0.024614595
80,0.5,1,0.91,0.018486835
85,NA,NA,0.44,0.0112064618
90,NA,NA,0.15,0.0044807724
95,NA,NA,0.04,0.0010047415
85+,0.5,1,0.63,0.0168164463
90+,NA,NA,0.19,0.0056144869
100+,NA,NA,0.005,0.000128973
